id;nom;departement;coordonnees;type_commerce;adresse;ville;adresse_mail;tel
126;BANETTE;Ille et Vilaine;"{""coordinates"": [[-1.684326824209458, 48.15364366690741]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;15 RUE ALPHONSE MILON;SAINT GREGOIRE;;
127;LORENZO PIZZA;Ille et Vilaine;"{""coordinates"": [[-1.681900405012944, 48.1536422196829]], ""type"": ""MultiPoint""}";PIZZERIA ET PIZZA AE;PLACE DE L EGLISE;SAINT GREGOIRE;;
128;HOTEL OCEANIA;Ille et Vilaine;"{""coordinates"": [[-1.696177433732852, 48.15445089954679]], ""type"": ""MultiPoint""}";HOTEL RESTAURANT*** BAR;CENTRE ALPHASIS;SAINT GREGOIRE;;
129;LA GALTOU'Z;Ille et Vilaine;"{""coordinates"": [[-1.722166920571262, 48.17768150284827]], ""type"": ""MultiPoint""}";BAR RESTAURANT;LIEU DIT LA BROSSE;SAINT GREGOIRE;;
130;SCARABEE BIO COOP;Ille et Vilaine;"{""coordinates"": [[-1.690985573926069, 48.13902850972449]], ""type"": ""MultiPoint""}";ALIMENTATION BIO;8 RUE DE LA CERISAIE;SAINT GREGOIRE;;
131;PIZZA DEL ARTE;Ille et Vilaine;"{""coordinates"": [[-1.698751474292206, 48.15171422331066]], ""type"": ""MultiPoint""}";RESTAURANT PIZZERIA;PARC EDONIA;SAINT GREGOIRE;;
132;AU P'TIT DETOUR;Ille et Vilaine;"{""coordinates"": [[-1.685339076128932, 48.13611072831165]], ""type"": ""MultiPoint""}";RESTAURANT;47 RUE BAHON RAULT;SAINT GREGOIRE;;
133;O-SUSHI-TIME;Ille et Vilaine;"{""coordinates"": [[-1.692769208563119, 48.09055821823304]], ""type"": ""MultiPoint""}";RESTAURANT SPECIALITE JAPONAISE SUSHI SP/AE;268 B RUE DE NANTES;SAINT JACQUES DE LA LANDE;;
134;EPICERIE ORIENTALE;Ille et Vilaine;"{""coordinates"": [[-1.695339731260328, 48.08972733817254]], ""type"": ""MultiPoint""}";EPICERIE ORIENTALE BOUCHERIE HALLAL;25 RUE DU TEMPLE DE BLOSNE;SAINT JACQUES DE LA LANDE;;
135;CARREFOUR MARKET;Ille et Vilaine;"{""coordinates"": [[-1.713934140102534, 48.08137481837636]], ""type"": ""MultiPoint""}";SUPERMARCHE;14 COURS CAMILLE CLAUDEL;SAINT JACQUES DE LA LANDE;;
136;L'ENTR'ACTE;Ille et Vilaine;"{""coordinates"": [[-1.721486588900487, 48.06781630701097]], ""type"": ""MultiPoint""}";RESTAURANT ET PLATS AE;12 PLACE JULES VALLES;SAINT JACQUES DE LA LANDE;;
137;BOULANGERIE PATISSERIE;Ille et Vilaine;"{""coordinates"": [[-1.692507733859815, 48.0910054535085]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;262 RUE DE NANTES;SAINT JACQUES DE LA LANDE;;
138;LES AJONCS;Ille et Vilaine;"{""coordinates"": [[-1.535950081815816, 48.315531401269844]], ""type"": ""MultiPoint""}";RESTAURANT CREPERIE PIZZERIA;LES SAUDRAIS;SENS DE BRETAGNE;;
139;ST JACQUES BAR RESTAURANT;Ille et Vilaine;"{""coordinates"": [[-1.747520161949842, 48.06747749825745]], ""type"": ""MultiPoint""}";BAR RESTAURANT;LIEU DIT LE TEMPLE DU CERISIER;SAINT JACQUES DE LA LANDE;;
140;BOULANGERIE PATISSERIE J. ET A. ESCORIAL;Ille et Vilaine;"{""coordinates"": [[-1.536345384744256, 48.333577238149125]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;5 RUE DUGUESCLIN;SENS DE BRETAGNE;;
141;BOULANGERIE C. ET C. GAULTHIER;Ille et Vilaine;"{""coordinates"": [[-1.459218189378226, 48.12128789399812]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;13 RUE THEODORE GAUDICHE;SERVON SUR VILAINE;;
142;CARREFOUR MARKET;Ille et Vilaine;"{""coordinates"": [[-1.580774514245964, 48.159633719601594]], ""type"": ""MultiPoint""}";SUPERMARCHE;CENTRE COMMERCIAL DU BOCAGE;THORIGNE FOUILLARD;;
143;LE FOURNIL DE PHILIPPE;Ille et Vilaine;"{""coordinates"": [[-1.592458889694381, 48.15586404016967]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;89 RUE NATIONALE 12;THORIGNE FOUILLARD;;
144;GOURMANDISES ET TRADITIONS;Ille et Vilaine;"{""coordinates"": [[-1.580715042946804, 48.15463405193918]], ""type"": ""MultiPoint""}";EPICERIE FINE;14 B RUE BEAUMANOIR;THORIGNE FOUILLARD;;
145;LE PANIER DES SAVEURS;Ille et Vilaine;"{""coordinates"": [[-1.58933056307351, 48.15273283272055]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE;AVENUE DE BELLEVUE;THORIGNE FOUILLARD;;
146;BAR RESTAURANT LES MARAIS;Ille et Vilaine;"{""coordinates"": [[-1.603368075744235, 48.0456327033645]], ""type"": ""MultiPoint""}";HOTEL RESTAURANT**;CHEMIN DES MARAIS;VERN SUR SEICHE;;
147;WELCOME BAR;Ille et Vilaine;"{""coordinates"": [[-1.599646323794388, 48.032708359509286]], ""type"": ""MultiPoint""}";RESTAURANT;LE CLOS BERQUET;VERN SUR SEICHE;;
148;NULLE PART AILLEURS;Ille et Vilaine;"{""coordinates"": [[-1.601412183070376, 48.0450015968297]], ""type"": ""MultiPoint""}";BAR + PETITE RESTAURATION;18 RUE CHATEAUBRIANT;VERN SUR SEICHE;;
149;E.LECLERC;Ille et Vilaine;"{""coordinates"": [[-1.623400543341768, 48.062853821539015]], ""type"": ""MultiPoint""}";SUPERMARCHE;3 RUE DE L ORSON;VERN SUR SEICHE;;
150;MC DONALD'S;Ille et Vilaine;"{""coordinates"": [[-1.621280743038254, 48.062957519271]], ""type"": ""MultiPoint""}";FAST FOOD SP/AE;LA BRETONNIERE;VERN SUR SEICHE;;
151;BOULANGERIE PATISSERIE;Ille et Vilaine;"{""coordinates"": [[-1.75422375039726, 48.11908588419745]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;24 RUE DE RENNES;VEZIN LE COQUET;;
152;LE LOTUS D'ASIE;Ille et Vilaine;"{""coordinates"": [[-1.741092026244182, 48.105320257090305]], ""type"": ""MultiPoint""}";RESTAURANT ASIATIQUE;MONTIGNE;VEZIN LE COQUET;;
153;M. ET C. LALLEMAND;Ille et Vilaine;"{""coordinates"": [[-1.48832675913601, 48.34287930222164]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;3 RUE ZACHARIE ROUSSIN;VIEUX VY SUR COUESNON;;
154;LE MOULIN DE BRAY;Ille et Vilaine;"{""coordinates"": [[-1.483506402859498, 48.353241062236776]], ""type"": ""MultiPoint""}";BAR CREPERIE GRILL VENTE DE POISSONS PISCICULTURE;MOULIN DE BRAIS;VIEUX VY SUR COUESNON;;
155;LE PETIT SABAYON;Ille et Vilaine;"{""coordinates"": [[-1.688229261231161, 48.1071823794474]], ""type"": ""MultiPoint""}";RESTAURANT EN TRAVAUX;2 ALLEE EMILE MARIE BESNARD;RENNES;;
156;BOUCHERIE SAINT MARTIN;Ille et Vilaine;"{""coordinates"": [[-1.6842490531605, 48.12319245717677]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE;206 B RUE DE SAINT MALO;RENNES;;
157;LES EMBRUNS;Ille et Vilaine;"{""coordinates"": [[-1.678495541739326, 48.10922796659384]], ""type"": ""MultiPoint""}";BAR BRASSERIE;16 RUE DU PRE BOTTE;RENNES;;
158;MA FROMAGERIE FINE;Ille et Vilaine;"{""coordinates"": [[-1.680298771442428, 48.107835714564025]], ""type"": ""MultiPoint""}";PRODUITS LAITIERS;26 RUE DE NEMOURS;RENNES;;
159;LA TERRASSE;Ille et Vilaine;"{""coordinates"": [[-1.633610224493827, 48.130460710620554]], ""type"": ""MultiPoint""}";CREPERIE SNACK;ALL MORVAN LEBESQUE;RENNES;;
160;LE RYAD;Ille et Vilaine;"{""coordinates"": [[-1.679416164785456, 48.10912813675505]], ""type"": ""MultiPoint""}";SALON DE THE RESTAURANT;2 RUE JULES SIMON;RENNES;;
161;SALSA AND CO;Ille et Vilaine;"{""coordinates"": [[-1.678416451961266, 48.10923118478927]], ""type"": ""MultiPoint""}";RESTAURATION RAPIDE;18 RUE DU PRE BOTTE;RENNES;;
162;CREPERIE L'EPI D'OR;Ille et Vilaine;"{""coordinates"": [[-1.675984773039952, 48.108340449340965]], ""type"": ""MultiPoint""}";CREPERIE;2 RUE SAINT THOMAS;RENNES;;
163;BANETTE;Ille et Vilaine;"{""coordinates"": [[-1.66807022042276, 48.08601766366985]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;2 RUE DE SUISSE;RENNES;;
164;LA PLANQUE;Ille et Vilaine;"{""coordinates"": [[-1.713037416494611, 48.10962583683643]], ""type"": ""MultiPoint""}";BAR RESTAURANT;12 RUE JEAN PIERRE CALLOC H;RENNES;;
165;BOULANGERIE PATISSERIE;Ille et Vilaine;"{""coordinates"": [[-1.682949390433652, 48.10315162583705]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;16 RUE DU DOCTEUR FRANCIS J;RENNES;;
166;MC DONALD'S;Ille et Vilaine;"{""coordinates"": [[-1.690205078753897, 48.13206319061905]], ""type"": ""MultiPoint""}";FAST FOOD SP/AE;318 RUE DE SAINT MALO;RENNES;;
167;DOZO;Ille et Vilaine;"{""coordinates"": [[-1.680787537260242, 48.11565946762155]], ""type"": ""MultiPoint""}";RESTAURANT JAPONAIS;8 RUE DE SAINT MALO;RENNES;;
168;LES BAGUETTES D'OR;Ille et Vilaine;"{""coordinates"": [[-1.680792558268597, 48.115479325582825]], ""type"": ""MultiPoint""}";RESTAURANT ASIATIQUE;2 RUE DE SAINT MALO;RENNES;;
169;LE MAFABLE;Ille et Vilaine;"{""coordinates"": [[-1.683541143614289, 48.10252431661847]], ""type"": ""MultiPoint""}";RESTAURANT;26 RUE DU DOCTEUR FRANCIS JOLY;RENNES;;
170;BOUCHERIE CHARCUTERIE;Ille et Vilaine;"{""coordinates"": [[-1.676050037083681, 48.08641607696866]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE TRAITEUR;12 RUE SUEDE;RENNES;;
171;LE GRENIER A PAIN;Ille et Vilaine;"{""coordinates"": [[-1.678465290342632, 48.10854114076794]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;16 RUE VASSELOT;RENNES;;
172;JEFF DE BRUGES;Ille et Vilaine;"{""coordinates"": [[-1.681004168186752, 48.106693632157324]], ""type"": ""MultiPoint""}";CHOCOLATERIE;14 RUE TRONJOLLY;RENNES;;
173;LE CRYSTAL;Ille et Vilaine;"{""coordinates"": [[-1.667691563612808, 48.09075433819121]], ""type"": ""MultiPoint""}";BAR + RESTAURATION RAPIDE;4 RUE DE LA BINQUENAIS;RENNES;;
174;BOULANGER PATISSIER LE VRAI;Ille et Vilaine;"{""coordinates"": [[-1.650607733408167, 48.10475072612336]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;68 BOULEVARD VILLEBOIS MARE;RENNES;;
175;LE CAFE DE L'EST;Ille et Vilaine;"{""coordinates"": [[-1.650182965067709, 48.10373022144594]], ""type"": ""MultiPoint""}";BAR SNACK PMU;82 BOULEVARD VILLEBOIS MAREUIL;RENNES;;
176;COMPTOIR IRLANDAIS (LE);Ille et Vilaine;"{""coordinates"": [[-1.68533235105898, 48.113370326837824]], ""type"": ""MultiPoint""}";ALIMENTATION IRLANDAISE + BAZAR;RUE DE DINAN;RENNES;;
177;SALAMA;Ille et Vilaine;"{""coordinates"": [[-1.667703354173849, 48.09047986521336]], ""type"": ""MultiPoint""}";BOUCHERIE HALAL;6 RUE DE LA BINQUENAIS;RENNES;;
178;SAVEURS D'ASIE;Ille et Vilaine;"{""coordinates"": [[-1.676456626199526, 48.11175949046359]], ""type"": ""MultiPoint""}";RESTAURANT ASIATIQUE;20 RUE SAINT GEORGES;RENNES;;
179;VIVECO;Ille et Vilaine;"{""coordinates"": [[-1.676121638499113, 48.0862127783224]], ""type"": ""MultiPoint""}";SUPERETTE;12 RUE SUEDE;RENNES;;
180;CHRISTIAN JANVIER;Ille et Vilaine;"{""coordinates"": [[-1.680344505679034, 48.107717303009814]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE SALON DE THE;28 RUE DE NEMOURS;RENNES;;
181;COMTESSE DU BARRY;Ille et Vilaine;"{""coordinates"": [[-1.68017128793764, 48.11193142128078]], ""type"": ""MultiPoint""}";ALIMENTATION SPECIALISEE;3 RUE CHATEAURENAULT;RENNES;;
182;QUATRE B. QUALITE. SAVEURS;Ille et Vilaine;"{""coordinates"": [[-1.684765430115696, 48.10921394847004]], ""type"": ""MultiPoint""}";RESTAURANT;4 PLACE DE BRETAGNE;RENNES;;
183;CHICKEN SHOW;Ille et Vilaine;"{""coordinates"": [[-1.667868617692916, 48.08584693715137]], ""type"": ""MultiPoint""}";REBAB SP/AE RESTAURATION RAPIDE;2 RUE DE SUISSE;RENNES;;
184;LE PHOENICIEN;Ille et Vilaine;"{""coordinates"": [[-1.68076191613587, 48.116201346175544]], ""type"": ""MultiPoint""}";RESTAURANT MAROCAIN;22 RUE DE SAINT MALO;RENNES;;
185;LES NEGOCIANTS;Ille et Vilaine;"{""coordinates"": [[-1.679661709846788, 48.109226514636184]], ""type"": ""MultiPoint""}";RESTAURANT;6 RUE DU PRE BOTTE;RENNES;;
186;BOUCHERIE CHARCUTERIE;Ille et Vilaine;"{""coordinates"": [[-1.667502748179581, 48.13614672373936]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE;RUE DU MORBIHAN;RENNES;;
187;CHARCUTERIE DE VINCENNES;Ille et Vilaine;"{""coordinates"": [[-1.673637273974923, 48.11782736502382]], ""type"": ""MultiPoint""}";CHARCUTERIE TRAITEUR;20 RUE DE VINCENNES;RENNES;;
188;PIZZA HUT;Ille et Vilaine;"{""coordinates"": [[-1.68943583791672, 48.1097913637595]], ""type"": ""MultiPoint""}";PIZZA A LIVRER / AE;38 AV MAIL;RENNES;;
189;LE POINT DE CHUTE;Ille et Vilaine;"{""coordinates"": [[-1.686035175759506, 48.10677392930562]], ""type"": ""MultiPoint""}";BAR RESTAURANT;14 RUE DE L ARSENAL;RENNES;;
190;LE VALY;Ille et Vilaine;"{""coordinates"": [[-1.714931908424726, 48.10798899945572]], ""type"": ""MultiPoint""}";BAR BRASSERIE;148 B RUE DE LORIENT;RENNES;;
191;FRANCE ASIA;Ille et Vilaine;"{""coordinates"": [[-1.666387107766005, 48.10978750188926]], ""type"": ""MultiPoint""}";ALIMENTATION ASIATIQUE + RR;46 AV SERGENT MAGINOT;RENNES;;
192;BOUCHERIE CHARCUTERIE;Ille et Vilaine;"{""coordinates"": [[-1.665872752854672, 48.108995598382684]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE;14 BOULEVARD RENE LAENNEC;RENNES;;
193;LE CLEUNAY;Ille et Vilaine;"{""coordinates"": [[-1.707202183668715, 48.10070625664223]], ""type"": ""MultiPoint""}";BAR BRASSERIE;42 RUE FERDINAND DE LESSEPS;RENNES;;
194;LE PECHE MIGNON;Ille et Vilaine;"{""coordinates"": [[-1.670919151834722, 48.110575749988215]], ""type"": ""MultiPoint""}";CREPERIE PIZZERIA GRILL;2 RUE PAUL BERT;RENNES;;
195;HERMINE CREP';Ille et Vilaine;"{""coordinates"": [[-1.672582104681506, 48.10340374760825]], ""type"": ""MultiPoint""}";CREPERIE;PLACE DE LA GARE;RENNES;;
196;VINS ET VOYAGES;Ille et Vilaine;"{""coordinates"": [[-1.673055668918752, 48.103374275591186]], ""type"": ""MultiPoint""}";RESTAURANT + VENTE VINS;PLACE DE LA GARE;RENNES;;
197;CANKEBAB;Ille et Vilaine;"{""coordinates"": [[-1.658583159165373, 48.13060521965423]], ""type"": ""MultiPoint""}";KEBAB SP/AE RESTAURATION RAPIDE;3 RUE ALEXANDRE LEFAS;RENNES;;
198;ALIMENTATION DU MAIL;Ille et Vilaine;"{""coordinates"": [[-1.690169283817731, 48.10909383254942]], ""type"": ""MultiPoint""}";ALIMENTATION GENERALE;53 MAIL FRANCOIS MITTERRAND;RENNES;;
199;LA DJALOBIENNE EXOTIQUE;Ille et Vilaine;"{""coordinates"": [[-1.687588641969926, 48.1101774918354]], ""type"": ""MultiPoint""}";ALIMENTATION EXOTIQUE + COSMETIQUE;18 MAIL FRANCOIS MITTERRAND;RENNES;;
200;MC DONALD'S;Ille et Vilaine;"{""coordinates"": [[-1.680267197300321, 48.10446009814953]], ""type"": ""MultiPoint""}";FAST FOOD SP/AE;40 PLACE DU COLOMBIER;RENNES;;
201;QUARTIER LATIN;Ille et Vilaine;"{""coordinates"": [[-1.681912032587378, 48.104587376028206]], ""type"": ""MultiPoint""}";RESTAURANT;40 PLACE DU COLOMBIER;RENNES;;
202;LES MILLES ET UNE NUIT;Ille et Vilaine;"{""coordinates"": [[-1.67672252102664, 48.11145934476604]], ""type"": ""MultiPoint""}";SALON DE THE NARGUILE;1 RUE DERVAL;RENNES;;
203;CARREFOUR MARKET;Ille et Vilaine;"{""coordinates"": [[-1.688222447858537, 48.11243053445861]], ""type"": ""MultiPoint""}";SUPERMARCHE;4 RUE BREST;RENNES;;
204;MC DONALD'S;Ille et Vilaine;"{""coordinates"": [[-1.70865165165538, 48.115948086676376]], ""type"": ""MultiPoint""}";RESTAURATION RAPIDE;104 RUE DE SAINT BRIEUC;RENNES;;
205;LE PROVENCAL;Ille et Vilaine;"{""coordinates"": [[-1.70930149069373, 48.12152522309286]], ""type"": ""MultiPoint""}";RESTAURATION TRADITIONNELLE;CCAL PRESIDENT KENNEDY;RENNES;;
206;SUBWAY;Ille et Vilaine;"{""coordinates"": [[-1.709171797607897, 48.12134241317363]], ""type"": ""MultiPoint""}";SANDWICHERIE;25 CRS PRESIDENT JF KENNEDY;RENNES;;
207;ROUGE ET NOIR CAFE;Ille et Vilaine;"{""coordinates"": [[-1.713070666637159, 48.10805202154878]], ""type"": ""MultiPoint""}";BAR RESTAURANT;111 RUE DE LORIENT;RENNES;;
208;BRIOCHE DOREE (LA);Ille et Vilaine;"{""coordinates"": [[-1.713897772769948, 48.10465850186019]], ""type"": ""MultiPoint""}";SANDWICHERIE;RUE JULES VALLES;RENNES;;
209;LA CASA DEL SOL;Ille et Vilaine;"{""coordinates"": [[-1.535602769836191, 48.131980771946466]], ""type"": ""MultiPoint""}";PIZZA ET PATES AE/SP;1 PLACE DES HALLES;ACIGNE;;
210;IL TOSCANO;Ille et Vilaine;"{""coordinates"": [[-1.739861508279917, 48.21346129634715]], ""type"": ""MultiPoint""}";RESTAURANT ITALIEN;LIEU DIT LES CARREAUX;LA MEZIERE;;
211;KEROLER;Ille et Vilaine;"{""coordinates"": [[-1.6438016362831, 48.16806936320933]], ""type"": ""MultiPoint""}";PATISSERIE GATEAUX SECS;0 RUE RENNES;BETTON;;
212;LE P'TIT MALOIN;Ille et Vilaine;"{""coordinates"": [[-1.637353343506674, 48.179878520777486]], ""type"": ""MultiPoint""}";BAR BRASSERIE;10 RUE RENNES;BETTON;;
213;BOULANGERIE PATISSERIE;Ille et Vilaine;"{""coordinates"": [[-1.435552277647337, 48.18377964128661]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE + SALON DE THE;27 RUE THEOPHILE REMOND;LA BOUEXIERE;;
214;LA SAUVAGINE;Ille et Vilaine;"{""coordinates"": [[-1.439089669499906, 48.18431694643093]], ""type"": ""MultiPoint""}";BAR CREPERIE;7 RUE JEAN MARIE PAVY;LA BOUEXIERE;;
215;BOUCHERIE CHARCUTERIE;Ille et Vilaine;"{""coordinates"": [[-1.671991826351841, 48.30683856004084]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE;LE BOURG;MONTREUIL SUR ILLE;;
216;CHEZ P'TIT LOUIS;Ille et Vilaine;"{""coordinates"": [[-1.674870228145949, 48.30707982868506]], ""type"": ""MultiPoint""}";BAR RESTAURANT;13 RUE HAUTE VILLE;MONTREUIL SUR ILLE;;
217;LE SAINT PIERRE;Ille et Vilaine;"{""coordinates"": [[-1.850405249401089, 48.07201078443591]], ""type"": ""MultiPoint""}";BAR RESTAURANT PMU;8 PLACE SAINT PIERRE;MORDELLES;;
218;RESTAURANT;Ille et Vilaine;"{""coordinates"": [[-1.616255172762314, 47.99632523427171]], ""type"": ""MultiPoint""}";RESTAURANT;41 RUE DE L ANCIENNE MAIRIE;BOURGBARRE;;
219;BOULANGERIE PATISSERIE;Ille et Vilaine;"{""coordinates"": [[-1.850903554047358, 48.07142020075019]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;1 RUE DU DOCTEUR DORDAIN;MORDELLES;;
220;LE TRISKELL;Ille et Vilaine;"{""coordinates"": [[-1.849091254880675, 48.072639887986824]], ""type"": ""MultiPoint""}";CREPERIE GRILL BAR TABAC;14 AVENUE MARECHAL LECLERC;MORDELLES;;
221;AUX IDEES GOURMANDES;Ille et Vilaine;"{""coordinates"": [[-1.748204453494754, 48.02466003349998]], ""type"": ""MultiPoint""}";EPICERIE FINE;9 AV JOSEPH JAN;BRUZ;;
222;CREPERIE LA MINOTIERE;Ille et Vilaine;"{""coordinates"": [[-1.74658882921928, 48.02492520961906]], ""type"": ""MultiPoint""}";CREPERIE;1 AVENUE ALPHONSE LEGAULT;BRUZ;;
223;LE FOURNIL MORDELLAIS;Ille et Vilaine;"{""coordinates"": [[-1.847629002048857, 48.073331469749405]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;28 AVENUE MARECHAL LECLERC;MORDELLES;;
224;LA BULLE;Ille et Vilaine;"{""coordinates"": [[-1.754705276763379, 48.04067446160799]], ""type"": ""MultiPoint""}";BAR RESTAURANT;LA CROIX MADAME;BRUZ;;
225;SUPER U;Ille et Vilaine;"{""coordinates"": [[-1.743721317044426, 48.02198153798894]], ""type"": ""MultiPoint""}";SUPERMARCHE;PLACE DE BRETAGNE;BRUZ;;
226;CASTEL CAFE;Ille et Vilaine;"{""coordinates"": [[-1.667730795809744, 48.03942656990186]], ""type"": ""MultiPoint""}";BAR RESTAURANT + PLATS AE;43 RUE DU GUE;NOYAL CHATILLON SUR SEICHE;;
227;AUBERGE DE KER LANN;Ille et Vilaine;"{""coordinates"": [[-1.739517123662262, 48.05477910821332]], ""type"": ""MultiPoint""}";BAR RESTAURANT;RUE CHARLES COUDE;BRUZ;;
228;LES FORGES;Ille et Vilaine;"{""coordinates"": [[-1.520591957361971, 48.10985019249262]], ""type"": ""MultiPoint""}";HOTEL RESTAURANT**;22 AVENUE DU GENERAL DE GAULLE;NOYAL SUR VILAINE;;
229;2 SPII KEBAB;Ille et Vilaine;"{""coordinates"": [[-1.524063800617245, 48.113409081059935]], ""type"": ""MultiPoint""}";KEBAB SP/AE;3 C RUE HAIGERLOCH;NOYAL SUR VILAINE;;
230;BOULANGERIE PATISSERIE;Ille et Vilaine;"{""coordinates"": [[-1.523135428452982, 48.114467848480935]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;1 RUE ALEXIS GEFFRAULT;NOYAL SUR VILAINE;;
231;COQUELI'BIO;Ille et Vilaine;"{""coordinates"": [[-1.737972443897129, 48.02344285205664]], ""type"": ""MultiPoint""}";ALIMENTATION & COSMETIQUE BIO;41 AVENUE DU GENERAL DE GAULLE;BRUZ;;
232;BOUCHERIE CHARCUTERIE;Ille et Vilaine;"{""coordinates"": [[-1.522698117665989, 48.113084568748825]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE TRAITEUR;18 RUE PIERRE MARCHAND;NOYAL SUR VILAINE;;
233;MC DONALD'S;Ille et Vilaine;"{""coordinates"": [[-1.739769301401376, 48.05573183255029]], ""type"": ""MultiPoint""}";FAST FOOD SP/AE;KER LANN;BRUZ;;
234;PROXI SUPER;Ille et Vilaine;"{""coordinates"": [[-1.666911806768477, 48.00003379406284]], ""type"": ""MultiPoint""}";SUPERETTE;44 RUE DE RENNES;ORGERES;;
235;BOULANGERIE;Ille et Vilaine;"{""coordinates"": [[-1.760613125285577, 48.0292787777673]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;7 PLACE DU VERT BUISSON;BRUZ;;
236;AU P'TIT CREUX;Ille et Vilaine;"{""coordinates"": [[-1.773517602440204, 48.14798757774523]], ""type"": ""MultiPoint""}";RESTAURANT CREPERIE;17 PLACE SAINT MELAINE;PACE;;
237;BOULANGERIE PATISSERIE;Ille et Vilaine;"{""coordinates"": [[-1.789300236872141, 48.149516686344384]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;7 RUE DU DOCTEUR LEON;PACE;;
238;CORA;Ille et Vilaine;"{""coordinates"": [[-1.765853788928508, 48.138073758832604]], ""type"": ""MultiPoint""}";HYPERMARCHE;LA GIRAUDAIS;PACE;;
239;BRIOCHE DOREE (LA);Ille et Vilaine;"{""coordinates"": [[-1.766622050390343, 48.13837013050383]], ""type"": ""MultiPoint""}";PATISSERIE VIENNOISERIE + PTE RESTAURATION;LA GIRAUDAIS;PACE;;
240;LE FORUM;Ille et Vilaine;"{""coordinates"": [[-1.741281817695559, 48.04609736685687]], ""type"": ""MultiPoint""}";RESTAURANT PIZZA SNACK SP;KER LANN;BRUZ;;
241;COURTEPAILLE;Ille et Vilaine;"{""coordinates"": [[-1.576227630846041, 48.11587373488931]], ""type"": ""MultiPoint""}";RESTAURANT;64 RUE DE LA RIGOURDIERE;CESSON SEVIGNE;;
242;BRASSERIE CHEZ DIDOUNET;Ille et Vilaine;"{""coordinates"": [[-1.624958881644969, 48.113999788744266]], ""type"": ""MultiPoint""}";BAR BRASSERIE;55 B RUE DE RENNES;CESSON SEVIGNE;;
243;LA VICTOIRE;Ille et Vilaine;"{""coordinates"": [[-1.607948270642633, 48.145767092905444]], ""type"": ""MultiPoint""}";BAR RESTAURANT;47 ROUTE DE FOUGERES;CESSON SEVIGNE;;
244;CREPERIE DE LA FROMENTIERE;Ille et Vilaine;"{""coordinates"": [[-1.605978802377854, 48.11595463578328]], ""type"": ""MultiPoint""}";CREPERIE;15 COURS DE LA VILAINE;CESSON SEVIGNE;;
245;RESTAURANT L'ADRESSE;Ille et Vilaine;"{""coordinates"": [[-1.607114127395317, 48.11569242617843]], ""type"": ""MultiPoint""}";RESTAURANT;32 COURS DE LA VILAINE;CESSON SEVIGNE;;
246;CARREFOUR CONTACT;Ille et Vilaine;"{""coordinates"": [[-1.599660245837633, 48.122684877677436]], ""type"": ""MultiPoint""}";SUPERMARCHE;50 RUE DE BELLE EPINE;CESSON SEVIGNE;;
247;COURTEPAILLE;Ille et Vilaine;"{""coordinates"": [[-1.767747083034938, 48.14050845963883]], ""type"": ""MultiPoint""}";RESTAURANT;BOULEVARD DE LA GIRAUDAIS;PACE;;
248;VIVECO;Ille et Vilaine;"{""coordinates"": [[-1.827706944648812, 48.1919743857902]], ""type"": ""MultiPoint""}";ALIMENTATION GENERALE;21 RUE PRINCIPALE;PARTHENAY DE BRETAGNE;;
249;AU BONHEUR DU PAIN;Ille et Vilaine;"{""coordinates"": [[-1.693424247162856, 48.11214982344363]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;35 RUE VANEAU;RENNES;;
250;CAFE DE LA TERRASSE;Ille et Vilaine;"{""coordinates"": [[-1.636201205968186, 48.10337070942345]], ""type"": ""MultiPoint""}";BAR RESTAURANT;13 RUE CAMILLE SAINT SAENS;RENNES;;
